Row Number,Volume,Close Price,Timestamp (EST)
3948,429288,523.06,2024-08-05 12:30:00
3947,282100,522.91,2024-08-05 12:31:00
3946,157149,522.81,2024-08-05 12:32:00
3945,280739,522.21,2024-08-05 12:33:00
3944,280479,522.05,2024-08-05 12:34:00
3943,152786,521.72,2024-08-05 12:35:00
3942,191093,521.45,2024-08-05 12:36:00
3941,193502,521.05,2024-08-05 12:37:00
3940,198456,521.08,2024-08-05 12:38:00
3939,171550,521.03,2024-08-05 12:39:00
3938,146866,520.93,2024-08-05 12:40:00
3937,112687,521.28,2024-08-05 12:41:00
3936,171594,521.62,2024-08-05 12:42:00
3935,115797,520.85,2024-08-05 12:43:00
3934,156488,520.74,2024-08-05 12:44:00
3933,178333,520.58,2024-08-05 12:45:00
3932,145049,520.08,2024-08-05 12:46:00
3931,169814,520.05,2024-08-05 12:47:00
3930,314718,520.08,2024-08-05 12:48:00
3929,89515,520.05,2024-08-05 12:49:00
3928,175384,519.53,2024-08-05 12:50:00
3927,141442,519.893,2024-08-05 12:51:00
3926,114363,519.77,2024-08-05 12:52:00
3925,99437,519.63,2024-08-05 12:53:00
3924,100480,519.095,2024-08-05 12:54:00
3923,145455,518.97,2024-08-05 12:55:00
3922,139313,518.575,2024-08-05 12:56:00
3921,174487,518.78,2024-08-05 12:57:00
3920,150257,518.96,2024-08-05 12:58:00
3919,165015,518.91,2024-08-05 12:59:00
3918,94537,519.19,2024-08-05 13:00:00
3917,110287,518.87,2024-08-05 13:01:00
3916,166698,518.6701,2024-08-05 13:02:00
3915,211763,518.73,2024-08-05 13:03:00
3914,222890,518.79,2024-08-05 13:04:00
3913,225017,518.63,2024-08-05 13:05:00
3912,156418,518.74,2024-08-05 13:06:00
3911,183722,519.2272,2024-08-05 13:07:00
3910,266583,519.57,2024-08-05 13:08:00
3909,240988,519.31,2024-08-05 13:09:00
3908,153205,519.71,2024-08-05 13:10:00
3907,132073,519.6,2024-08-05 13:11:00
3906,108583,519.26,2024-08-05 13:12:00
3905,277341,518.925,2024-08-05 13:13:00
3904,60754,519.48,2024-08-05 13:14:00
3903,136941,519.77,2024-08-05 13:15:00
3902,113190,519.87,2024-08-05 13:16:00
3901,228380,519.83,2024-08-05 13:17:00
3900,124151,520,2024-08-05 13:18:00
3899,138389,519.96,2024-08-05 13:19:00
3898,102645,519.92,2024-08-05 13:20:00
3897,371861,520.24,2024-08-05 13:21:00
3896,109275,520.53,2024-08-05 13:22:00
3895,120993,520.31,2024-08-05 13:23:00
3894,76494,520.04,2024-08-05 13:24:00
3893,115050,520.25,2024-08-05 13:25:00
3892,161983,520.76,2024-08-05 13:26:00
3891,61196,520.46,2024-08-05 13:27:00
3890,93437,520.06,2024-08-05 13:28:00
3889,125245,519.66,2024-08-05 13:29:00
3888,109323,519.77,2024-08-05 13:30:00
3887,118463,519.85,2024-08-05 13:31:00
3886,99420,519.61,2024-08-05 13:32:00
3885,82346,520.08,2024-08-05 13:33:00
3884,106664,520.28,2024-08-05 13:34:00
3883,93574,519.88,2024-08-05 13:35:00
3882,194929,520.025,2024-08-05 13:36:00
3881,72321,520.1,2024-08-05 13:37:00
3880,71579,520.02,2024-08-05 13:38:00
3879,50031,520.1,2024-08-05 13:39:00
3878,84705,520.37,2024-08-05 13:40:00
3877,142498,520.6,2024-08-05 13:41:00
3876,144995,520.48,2024-08-05 13:42:00
3875,144084,520.12,2024-08-05 13:43:00
3874,163116,520,2024-08-05 13:44:00
3873,104828,519.88,2024-08-05 13:45:00
3872,284754,519.565,2024-08-05 13:46:00
3871,107551,519.77,2024-08-05 13:47:00
3870,89978,519.73,2024-08-05 13:48:00
3869,96529,519.56,2024-08-05 13:49:00
3868,121946,519.72,2024-08-05 13:50:00
3867,106289,519.49,2024-08-05 13:51:00
3866,208188,519.76,2024-08-05 13:52:00
3865,90574,519.715,2024-08-05 13:53:00
3864,132568,519.47,2024-08-05 13:54:00
3863,157087,519.55,2024-08-05 13:55:00
3862,100651,519.48,2024-08-05 13:56:00
3861,227184,519.06,2024-08-05 13:57:00
3860,185045,518.83,2024-08-05 13:58:00
3859,81083,519.06,2024-08-05 13:59:00
3858,223630,518.53,2024-08-05 14:00:00
3857,255272,518.005,2024-08-05 14:01:00
3856,294654,518.105,2024-08-05 14:02:00
3855,117568,518.22,2024-08-05 14:03:00
3854,153405,518.01,2024-08-05 14:04:00
