Row Number,Delta Ask Size,Delta Ask Price,Delta Bid Size,Delta Bid Price,Delta Average of Bid and Ask,Timestamp (EST)
1335,33,-0.12,318,-0.14,-0.12,2024-08-06 01:19 PM
1334,-9,-0.01,-54,0.01,0.0,2024-08-06 01:20 PM
1333,-60,0.19,-277,0.21,0.19,2024-08-06 01:21 PM
1332,18,-0.19,-13,-0.22,-0.2,2024-08-06 01:22 PM
1331,0,-0.04,27,-0.04,-0.04,2024-08-06 01:23 PM
1330,263,0.12,45,0.14,0.13,2024-08-06 01:24 PM
1329,46,-0.13,108,-0.14,-0.13,2024-08-06 01:25 PM
1328,-321,0.2,69,0.18,0.19,2024-08-06 01:26 PM
1327,18,-0.2,-207,-0.13,-0.17,2024-08-06 01:27 PM
1326,-4,0.1,-46,0.14,0.12,2024-08-06 01:28 PM
1325,-2,0.1,50,0.09,0.1,2024-08-06 01:29 PM
1324,31,0.06,-16,0.06,0.06,2024-08-06 01:30 PM
1323,-26,0.07,-1,0.07,0.07,2024-08-06 01:31 PM
1322,-14,-0.14,-30,-0.16,-0.15,2024-08-06 01:32 PM
1321,19,0.16,9,0.17,0.16,2024-08-06 01:33 PM
1320,23,0.03,18,0.04,0.03,2024-08-06 01:34 PM
1319,-36,-0.1,-26,-0.1,-0.09,2024-08-06 01:35 PM
1318,-5,0.03,13,0.0,0.01,2024-08-06 01:36 PM
1317,16,0.06,-14,0.1,0.08,2024-08-06 01:37 PM
1316,21,0.12,50,0.11,0.11,2024-08-06 01:38 PM
1315,-41,-0.01,-11,-0.01,-0.01,2024-08-06 01:39 PM
1314,22,-0.07,-27,-0.08,-0.07,2024-08-06 01:40 PM
1313,8,-0.07,12,-0.05,-0.06,2024-08-06 01:41 PM
1312,-18,0.01,7,0.01,0.01,2024-08-06 01:42 PM
1311,10,-0.21,3,-0.22,-0.22,2024-08-06 01:43 PM
1310,-18,-0.08,-37,-0.07,-0.07,2024-08-06 01:44 PM
1309,35,0.01,0,0.01,0.01,2024-08-06 01:45 PM
1308,-27,-0.27,12,-0.27,-0.27,2024-08-06 01:46 PM
1307,23,0.21,-12,0.2,0.21,2024-08-06 01:47 PM
1306,-6,0.04,33,0.05,0.04,2024-08-06 01:48 PM
1305,7,0.09,-30,0.1,0.09,2024-08-06 01:49 PM
1304,-36,0.06,34,0.04,0.06,2024-08-06 01:50 PM
1303,43,-0.05,12,-0.05,-0.06,2024-08-06 01:51 PM
1302,-4,0.1,5,0.1,0.1,2024-08-06 01:52 PM
1301,130,-0.04,4,-0.04,-0.04,2024-08-06 01:53 PM
1300,-12,0.15,-3,0.15,0.16,2024-08-06 01:54 PM
1299,-111,0.08,-18,0.07,0.07,2024-08-06 01:55 PM
1298,-4,0.04,-7,0.06,0.05,2024-08-06 01:56 PM
1297,-2,0.16,16,0.14,0.15,2024-08-06 01:57 PM
1296,-28,0.0,-10,0.01,0.0,2024-08-06 01:58 PM
1295,2,-0.18,-9,-0.17,-0.17,2024-08-06 01:59 PM
1294,49,-0.14,-11,-0.15,-0.15,2024-08-06 02:00 PM
1293,-46,-0.14,17,-0.14,-0.13,2024-08-06 02:01 PM
1292,35,-0.05,-16,-0.05,-0.06,2024-08-06 02:02 PM
1291,118,0.12,12,0.13,0.13,2024-08-06 02:03 PM
1290,-142,-0.21,1,-0.21,-0.21,2024-08-06 02:04 PM
1289,12,0.01,-4,0.0,0.0,2024-08-06 02:05 PM
1288,-28,-0.12,-14,-0.11,-0.11,2024-08-06 02:06 PM
1287,-19,0.03,22,0.03,0.03,2024-08-06 02:07 PM
1286,30,-0.23,-2,-0.23,-0.23,2024-08-06 02:08 PM
1285,-11,0.06,-13,0.06,0.06,2024-08-06 02:09 PM
1284,19,0.02,26,0.02,0.02,2024-08-06 02:10 PM
1283,22,0.23,-11,0.22,0.23,2024-08-06 02:11 PM
1282,-24,-0.03,-5,-0.02,-0.03,2024-08-06 02:12 PM
1281,6,0.04,-1,0.04,0.04,2024-08-06 02:13 PM
1280,-5,-0.17,7,-0.17,-0.17,2024-08-06 02:14 PM
1279,1,0.01,111,0.01,0.01,2024-08-06 02:15 PM
1278,-14,0.18,-134,0.18,0.18,2024-08-06 02:16 PM
1277,36,0.13,6,0.12,0.13,2024-08-06 02:17 PM
1276,-23,0.1,-6,0.1,0.09,2024-08-06 02:18 PM
1275,18,0.16,0,0.16,0.17,2024-08-06 02:19 PM
1274,-20,0.05,25,0.05,0.05,2024-08-06 02:20 PM
1273,-6,0.0,-25,0.0,0.0,2024-08-06 02:21 PM
1272,-3,0.32,10,0.31,0.31,2024-08-06 02:22 PM
1271,-17,0.01,-28,0.02,0.01,2024-08-06 02:23 PM
1270,-2,0.06,18,0.06,0.06,2024-08-06 02:24 PM
1269,12,0.01,0,0.01,0.01,2024-08-06 02:25 PM
1268,13,0.06,0,0.06,0.06,2024-08-06 02:26 PM
1267,5,-0.05,7,-0.06,-0.05,2024-08-06 02:27 PM
1266,-30,-0.04,123,-0.03,-0.04,2024-08-06 02:28 PM
1265,22,0.04,-130,0.03,0.04,2024-08-06 02:29 PM
1264,-29,0.13,21,0.14,0.13,2024-08-06 02:30 PM
1263,19,-0.17,-40,-0.17,-0.17,2024-08-06 02:31 PM
1262,30,0.15,27,0.15,0.16,2024-08-06 02:32 PM
1261,-25,0.02,-8,0.02,0.01,2024-08-06 02:33 PM
1260,-17,0.15,0,0.16,0.16,2024-08-06 02:34 PM
1259,44,0.19,10,0.17,0.18,2024-08-06 02:35 PM
1258,-10,0.03,-10,0.04,0.04,2024-08-06 02:36 PM
1257,-15,0.11,1,0.12,0.11,2024-08-06 02:37 PM
1256,34,-0.09,-1,-0.11,-0.1,2024-08-06 02:38 PM
1255,-31,0.07,18,0.06,0.06,2024-08-06 02:39 PM
1254,0,-0.11,-18,-0.1,-0.1,2024-08-06 02:40 PM
1253,12,-0.14,0,-0.13,-0.13,2024-08-06 02:41 PM
1252,-12,-0.03,30,-0.05,-0.05,2024-08-06 02:42 PM
1251,6,0.15,-30,0.17,0.16,2024-08-06 02:43 PM
1250,3,-0.02,0,-0.02,-0.01,2024-08-06 02:44 PM
1249,-9,0.04,60,0.03,0.03,2024-08-06 02:45 PM
1248,3,-0.07,-60,-0.07,-0.07,2024-08-06 02:46 PM
1247,3,0.01,12,0.02,0.01,2024-08-06 02:47 PM
1246,31,0.18,-2,0.17,0.18,2024-08-06 02:48 PM
1245,-26,0.03,-10,0.04,0.03,2024-08-06 02:49 PM
1244,-26,-0.07,0,-0.07,-0.07,2024-08-06 02:50 PM
1243,5,0.04,0,0.05,0.05,2024-08-06 02:51 PM
1242,22,-0.16,0,-0.17,-0.16,2024-08-06 02:52 PM
1241,-4,0.11,21,0.11,0.1,2024-08-06 02:53 PM
1240,14,0.04,17,0.03,0.04,2024-08-06 02:54 PM
1239,12,-0.01,195,-0.04,-0.03,2024-08-06 02:55 PM
1238,-44,-0.16,-212,-0.11,-0.13,2024-08-06 02:56 PM
1237,21,-0.16,-21,-0.17,-0.16,2024-08-06 02:57 PM
1236,-21,-0.15,23,-0.15,-0.15,2024-08-06 02:58 PM
1235,17,-0.32,3,-0.32,-0.33,2024-08-06 02:59 PM
1234,-10,-0.5,-45,-0.49,-0.49,2024-08-06 03:00 PM
1233,-10,-0.04,19,-0.04,-0.04,2024-08-06 03:01 PM
1232,-9,-0.21,12,-0.21,-0.21,2024-08-06 03:02 PM
1231,33,-0.21,155,-0.21,-0.21,2024-08-06 03:03 PM
1230,-40,-0.42,-156,-0.4,-0.41,2024-08-06 03:04 PM
1229,239,-0.07,5,-0.08,-0.07,2024-08-06 03:05 PM
1228,-190,-0.05,25,-0.07,-0.07,2024-08-06 03:06 PM
1227,-7,0.02,89,0.02,0.02,2024-08-06 03:07 PM
1226,-5,-0.31,-120,-0.28,-0.29,2024-08-06 03:08 PM
1225,74,0.13,5,0.11,0.12,2024-08-06 03:09 PM
1224,-52,0.19,7,0.19,0.19,2024-08-06 03:10 PM
1223,136,0.08,13,0.09,0.09,2024-08-06 03:11 PM
1222,-157,-0.12,-5,-0.12,-0.13,2024-08-06 03:12 PM
1221,152,0.26,-4,0.25,0.26,2024-08-06 03:13 PM
1220,-143,-0.19,-6,-0.19,-0.19,2024-08-06 03:14 PM
1219,152,0.05,-8,0.05,0.05,2024-08-06 03:15 PM
1218,-132,-0.06,35,-0.06,-0.06,2024-08-06 03:16 PM
1217,-24,-0.39,-12,-0.38,-0.39,2024-08-06 03:17 PM
1216,56,0.12,-10,0.12,0.13,2024-08-06 03:18 PM
1215,-69,0.09,-12,0.1,0.09,2024-08-06 03:19 PM
1214,-2,0.07,-13,0.09,0.08,2024-08-06 03:20 PM
1213,10,0.27,0,0.23,0.25,2024-08-06 03:21 PM
1212,-4,0.19,3,0.22,0.2,2024-08-06 03:22 PM
1211,-2,0.26,-3,0.22,0.25,2024-08-06 03:23 PM
1210,2,0.04,-11,0.06,0.05,2024-08-06 03:24 PM
1209,173,0.27,177,0.25,0.26,2024-08-06 03:25 PM
1208,58,-0.06,-152,-0.06,-0.06,2024-08-06 03:26 PM
1207,-227,-0.04,9,-0.03,-0.04,2024-08-06 03:27 PM
1206,229,-0.14,213,-0.14,-0.14,2024-08-06 03:28 PM
1205,-233,-0.1,-224,-0.1,-0.1,2024-08-06 03:29 PM
1204,5,-0.13,68,-0.12,-0.13,2024-08-06 03:30 PM
1203,11,0.01,-80,-0.01,0.0,2024-08-06 03:31 PM
1202,149,0.07,32,0.07,0.08,2024-08-06 03:32 PM
1201,-167,-0.21,-44,-0.21,-0.21,2024-08-06 03:33 PM
1200,19,0.15,50,0.15,0.14,2024-08-06 03:34 PM
1199,-36,-0.01,-50,0.0,0.0,2024-08-06 03:35 PM
1198,23,-0.06,110,-0.06,-0.06,2024-08-06 03:36 PM
1197,-16,-0.13,-110,-0.12,-0.12,2024-08-06 03:37 PM
1196,11,0.1,32,0.09,0.09,2024-08-06 03:38 PM
1195,5,-0.04,-32,-0.04,-0.04,2024-08-06 03:39 PM
1194,-31,-0.19,12,-0.16,-0.17,2024-08-06 03:40 PM
1193,15,0.14,0,0.15,0.14,2024-08-06 03:41 PM
1192,20,-0.24,6,-0.27,-0.26,2024-08-06 03:42 PM
1191,-10,-0.02,-6,-0.01,-0.01,2024-08-06 03:43 PM
1190,34,0.0,169,-0.02,-0.01,2024-08-06 03:44 PM
1189,500,-0.18,275,-0.31,-0.24,2024-08-06 03:45 PM
1188,-528,0.04,-417,0.18,0.1,2024-08-06 03:46 PM
1187,12,-0.43,74,-0.43,-0.43,2024-08-06 03:47 PM
1186,43,-0.33,-101,-0.34,-0.33,2024-08-06 03:48 PM
1185,-30,0.13,-19,0.16,0.15,2024-08-06 03:49 PM
1184,10,-0.16,62,-0.21,-0.19,2024-08-06 03:50 PM
1183,-34,0.36,-34,0.35,0.36,2024-08-06 03:51 PM
1182,-14,-0.66,16,-0.61,-0.64,2024-08-06 03:52 PM
1181,9,-0.24,9,-0.25,-0.25,2024-08-06 03:53 PM
1180,157,0.16,36,0.15,0.16,2024-08-06 03:54 PM
1179,-127,-0.32,-63,-0.33,-0.33,2024-08-06 03:55 PM
1178,-10,-0.21,27,-0.19,-0.19,2024-08-06 03:56 PM
1177,95,0.07,34,0.07,0.07,2024-08-06 03:57 PM
