Volume,Close Price,Timestamp (EST)
28741,542.6603,2024-08-14 11:11:00
44105,542.61,2024-08-14 11:12:00
202324,542.74,2024-08-14 11:13:00
25465,542.75,2024-08-14 11:14:00
47455,542.76,2024-08-14 11:15:00
71694,542.73,2024-08-14 11:16:00
36241,542.655,2024-08-14 11:17:00
37631,542.66,2024-08-14 11:18:00
27886,542.72,2024-08-14 11:19:00
57410,542.88,2024-08-14 11:20:00
41389,542.82,2024-08-14 11:21:00
55577,542.71,2024-08-14 11:22:00
43285,542.75,2024-08-14 11:23:00
23275,542.76,2024-08-14 11:24:00
29459,542.9021,2024-08-14 11:25:00
32321,542.94,2024-08-14 11:26:00
37414,542.995,2024-08-14 11:27:00
36472,543.05,2024-08-14 11:28:00
43473,543.1577,2024-08-14 11:29:00
107017,543.32,2024-08-14 11:30:00
216455,543.41,2024-08-14 11:31:00
139720,543.68,2024-08-14 11:32:00
64833,543.77,2024-08-14 11:33:00
142374,543.7299,2024-08-14 11:34:00
116856,543.7,2024-08-14 11:35:00
93352,543.74,2024-08-14 11:36:00
62895,543.745,2024-08-14 11:37:00
120631,543.77,2024-08-14 11:38:00
85385,543.97,2024-08-14 11:39:00
45971,544,2024-08-14 11:40:00
71265,543.87,2024-08-14 11:41:00
81255,543.675,2024-08-14 11:42:00
152232,543.555,2024-08-14 11:43:00
57281,543.5,2024-08-14 11:44:00
56298,543.765,2024-08-14 11:45:00
56391,543.88,2024-08-14 11:46:00
93776,543.955,2024-08-14 11:47:00
146531,543.79,2024-08-14 11:48:00
37673,543.86,2024-08-14 11:49:00
33389,544.01,2024-08-14 11:50:00
73190,544.295,2024-08-14 11:51:00
150983,544.25,2024-08-14 11:52:00
48804,544.28,2024-08-14 11:53:00
24651,544.29,2024-08-14 11:54:00
65933,544.42,2024-08-14 11:55:00
50513,544.51,2024-08-14 11:56:00
55137,544.45,2024-08-14 11:57:00
74100,544.75,2024-08-14 11:58:00
75915,544.68,2024-08-14 11:59:00
87737,544.5624,2024-08-14 12:00:00
67920,544.64,2024-08-14 12:01:00
54026,544.73,2024-08-14 12:02:00
96170,544.61,2024-08-14 12:03:00
44261,544.74,2024-08-14 12:04:00
106582,544.67,2024-08-14 12:05:00
62804,544.861,2024-08-14 12:06:00
73622,544.84,2024-08-14 12:07:00
53281,544.72,2024-08-14 12:08:00
48393,544.615,2024-08-14 12:09:00
57353,544.59,2024-08-14 12:10:00
29558,544.6352,2024-08-14 12:11:00
29908,544.7701,2024-08-14 12:12:00
20273,544.62,2024-08-14 12:13:00
39306,544.5201,2024-08-14 12:14:00
87910,544.275,2024-08-14 12:15:00
185574,543.93,2024-08-14 12:16:00
105575,543.71,2024-08-14 12:17:00
57954,543.85,2024-08-14 12:18:00
48841,543.8,2024-08-14 12:19:00
51336,544.0292,2024-08-14 12:20:00
55436,543.76,2024-08-14 12:21:00
94909,543.4291,2024-08-14 12:22:00
227477,542.76,2024-08-14 12:23:00
189455,542.74,2024-08-14 12:24:00
278411,542.3,2024-08-14 12:25:00
111005,542.55,2024-08-14 12:26:00
140289,542.62,2024-08-14 12:27:00
93106,542.7231,2024-08-14 12:28:00
34817,542.645,2024-08-14 12:29:00
68249,542.68,2024-08-14 12:30:00
78914,542.65,2024-08-14 12:31:00
53831,542.94,2024-08-14 12:32:00
51999,542.99,2024-08-14 12:33:00
60496,542.8699,2024-08-14 12:34:00
139796,542.75,2024-08-14 12:35:00
23405,542.95,2024-08-14 12:36:00
53031,543.07,2024-08-14 12:37:00
43202,542.87,2024-08-14 12:38:00
72855,543.105,2024-08-14 12:39:00
41283,543.1,2024-08-14 12:40:00
60334,543.12,2024-08-14 12:41:00
37311,543.06,2024-08-14 12:42:00
59851,542.66,2024-08-14 12:43:00
152617,542.01,2024-08-14 12:44:00
115496,542.13,2024-08-14 12:45:00
30595,542.29,2024-08-14 12:46:00
21730,542.34,2024-08-14 12:47:00
90017,542.2124,2024-08-14 12:48:00
23836,542.23,2024-08-14 12:49:00
54918,542.4499,2024-08-14 12:50:00
108931,542.6,2024-08-14 12:51:00
30090,542.58,2024-08-14 12:52:00
31499,542.73,2024-08-14 12:53:00
51493,543.02,2024-08-14 12:54:00
88136,542.94,2024-08-14 12:55:00
88899,542.82,2024-08-14 12:56:00
37769,542.934,2024-08-14 12:57:00
51657,543.1271,2024-08-14 12:58:00
20479,543.08,2024-08-14 12:59:00
55277,542.8763,2024-08-14 13:00:00
23536,542.9625,2024-08-14 13:01:00
24161,542.97,2024-08-14 13:02:00
31009,542.84,2024-08-14 13:03:00
86756,542.87,2024-08-14 13:04:00
34548,543.04,2024-08-14 13:05:00
71936,543.4315,2024-08-14 13:06:00
64885,543.53,2024-08-14 13:07:00
64439,543.2499,2024-08-14 13:08:00
25646,543.25,2024-08-14 13:09:00
91103,542.74,2024-08-14 13:10:00
66622,542.76,2024-08-14 13:11:00
43804,542.9,2024-08-14 13:12:00
15842,542.8,2024-08-14 13:13:00
11945,542.98,2024-08-14 13:14:00
17281,543,2024-08-14 13:15:00
44753,543.27,2024-08-14 13:16:00
28058,543.14,2024-08-14 13:17:00
29040,543.024,2024-08-14 13:18:00
33024,543.16,2024-08-14 13:19:00
43468,543.07,2024-08-14 13:20:00
26959,543.15,2024-08-14 13:21:00
48529,542.9,2024-08-14 13:22:00
51498,543.06,2024-08-14 13:23:00
19034,543.0771,2024-08-14 13:24:00
20604,543.01,2024-08-14 13:25:00
18988,543.1,2024-08-14 13:26:00
51175,542.8,2024-08-14 13:27:00
29263,543.12,2024-08-14 13:28:00
36583,543.22,2024-08-14 13:29:00
43300,543.3399,2024-08-14 13:30:00
28616,543.47,2024-08-14 13:31:00
28171,543.47,2024-08-14 13:32:00
36058,543.44,2024-08-14 13:33:00
16904,543.36,2024-08-14 13:34:00
40405,543.5231,2024-08-14 13:35:00
24512,543.36,2024-08-14 13:36:00
56630,543.1499,2024-08-14 13:37:00
36369,543.2401,2024-08-14 13:38:00
36385,543.21,2024-08-14 13:39:00
46094,543.33,2024-08-14 13:40:00
